"Story","Title","Result","Date","Stability","Duration (s)"
"Escenario para comprar productos en el exito por diferente categprias","Buy for category and subcategory","ERROR","2023-03-01T23:18:06.2854548-05:00[America/Bogota]","0.0","44.58"
"Escenario para comprar productos en el exito por diferente categprias","Buy for category and subcategory","ERROR","2023-03-01T23:18:06.2854548-05:00[America/Bogota]","0.0","44.58"
