"Story","Title","Result","Date","Stability","Duration (s)"
"Escenario para comprar productos en el exito por diferente categprias","Buy for category and subcategory","ERROR","2023-03-02T18:55:02.0436965-05:00[America/Bogota]","0.0","47.55"
"Escenario para comprar productos en el exito por diferente categprias","Buy for category and subcategory","ERROR","2023-03-02T18:55:02.0436965-05:00[America/Bogota]","0.0","47.55"
